"dhlabid","urn","title","city","timestamp","year","conc","date","samesaken","Alta.samfunnet.er.i.mot.utbygging","protestbevegelse","at.et.møte.blir.arrangert","tv.program","produksjon.av.film","partipolitikk","kommunestyret","domstoler","regjeringen","myndigheter","demonstranter","politiet","saksbehandling.og.juridiske.prosesser","bygging.av.vei.og.anleggsvirksomhet","undersøkelser.og.utredning","arrestasjoner.og.bruk.av.tvangsmidler","økonomisk.og.næringsmessig.nytte","må.ha.kraft.og.strøm","konflikt.mellom.samer.og.nordmenn","rettigheter.til.land.og.ressurser","natur.og.miljø","vern.av.vassdrag","trussel.mot.samisk.kultur.og.næring","trussel.mot.laksefiske","Alta.kautokeinovassdraget.bør.bygges.ut","samiske.særrettigheter","utsatt.og.usikkerhet","unødvendig","splittelse.og.uenighet","vanskelig.å.snakke.om","urettferdig","opprivende","forsoning","samhold.og.enighet","handlekraft.og.beslutninger","tydelig.og.bestemtrettsak","leiren.i.Stilla","sultestreik","politiaksjonen","stortingets.vedtak","opprettelsen.av.Sametinget","Finnmarksloven","udemokratiske.protester","sivil.ulydighet","demonstrantene.opptrer.dårlig","ikke.voldelige","mediedekning","historisk.betydning","kunst.og.kultur","husker.eller.minnes","feilinformasjon","Konstruktiv.sivil.ulydighet","Manglende.utredning.om.konsekvenser","skeptisk.kraftprognose.motstand","meningsløs.kraftutbygging","Skeptisk.til.ulydighet","lov.og.orden","overdrevet.maktbruk.av.myndigheter.og.politi","fredelige.demonstranter","tydelig.og.bestemt","rettsak","arbeiderpartiet","gasskraftverk","neddemming.av.Masi","Kraftlinjer"
NA,"URN:NBN:no-nb_digavis_aftenposten_null_null_20220325_163_60_1","aftenposten","Oslo","20220325","2022","(IWGIA), inn i bøteregisteret for kampen mot utbyggingen av Alta-vassdraget og inn til Yanesha-indianerne i Peru, der han",2022-03-25,0.17,0.95,0.66,0.58,0.25,0.33,0.41,0.18,0.56,0.12,0.55,0.62,0.49,0.83,0.32,0.65,0.9,0.55,0.21,0.18,0.61,0.2,0.22,0.41,0.11,0.46,0.48,0.73,0.34,0.69,0.43,0.54,0.69,0.13,0.19,0.67,0.55,0.25,0.16,0.23,0.21,0.12,0.12,0.29,0.5,0.47,0.13,0.41,0.42,0.26,0.72,0.57,0.32,0.48,0.42,0.37,0.31,0.32,0.5,0.02,0.32,0.86,0.15,0.14,0.07,0.22
NA,"URN:NBN:no-nb_digavis_hordaland_null_null_20220106_139_2_1","hordaland","Voss","20220106","2022","(Sp) som ansvarleg statsråd. Protestane mot mellom anna Alta-utbygginga, hadde sett fokus på det kraftsystemet vi hadde hatt.",2022-01-06,0.07,0.93,0.9,0.53,0.14,0.22,0.86,0.06,0.12,0.95,0.93,0.93,0.04,0.69,0.1,0.57,0.58,0.45,0.74,0.25,0.45,0.04,0.15,0.26,0.03,0.32,0.44,0.67,0.25,0.75,0.52,0.61,0.67,0.1,0.03,0.78,0.49,0.22,0.1,0.05,0.22,0.12,0.06,0.34,0.3,0.39,0.27,0.47,0.65,0.1,0.66,0.59,0.19,0.45,0.57,0.28,0.38,0.08,0.46,0.01,0.31,0.14,0.01,0.05,0.1,0.64
NA,"URN:NBN:no-nb_digavis_nationen_null_null_20220624_0_143_1","nationen","Oslo","20220624","2022","○ HELGA Mot kraftutbygging: Demonstrasjon mot utbygginga av Alta-Kautokeino-vassdraget i 1979. Fleire hundre menneske slo leir ved nullpunktet",2022-06-24,0.51,0.98,0.97,0.69,0.13,0.13,0.34,0.11,0.09,0.05,0.34,0.98,0.07,0.33,0.12,0.21,0.75,0.14,0.33,0.74,0.74,0.66,0.41,0.83,0.04,0.41,0.67,0.48,0.52,0.85,0.32,0.71,0.85,0.03,0.11,0.4,0.52,0.81,0.12,0.12,0.28,0.13,0.13,0.53,0.79,0.22,0.05,0.17,0.68,0.06,0.76,0.4,0.44,0.29,0.75,0.66,0.63,0.06,0.48,0.01,0.25,0.2,0.38,0.03,0.16,0.12
NA,"URN:NBN:no-nb_digavis_nationen_null_null_20220121_0_17_1","nationen","Oslo","20220121","2022","£ k Vern: Demonstrasjon i 1979 mot utbygging av Alta-Kautokeinovassdraget. Flere hundre norske elver er vernet. Foto: Per Løchen",2022-01-21,0.37,0.94,0.9,0.73,0.13,0.16,0.18,0.12,0.12,0.06,0.31,0.95,0.06,0.46,0.11,0.34,0.66,0.17,0.05,0.46,0.8,0.85,0.97,0.64,0.17,0.15,0.48,0.41,0.21,0.66,0.36,0.22,0.53,0.05,0.1,0.73,0.44,0.24,0.1,0.1,0.27,0.07,0.09,0.2,0.48,0.14,0.28,0.24,0.55,0.11,0.7,0.43,0.33,0.28,0.3,0.12,0.31,0.09,0.36,0.07,0.34,0.14,0.15,0.02,0.07,0.06
NA,"URN:NBN:no-nb_digavis_bergenstidende_null_null_20220103_155_2_1","bergenstidende","Bergen","20220103","2022","00 LE F. É Demonstrasjon i 1979 mot utbygging av Alta-Kautokeinovassdraget. Flere hundre norske elver er vernet. PER LØCHEN / NTB",2022-01-03,0.5,0.95,0.94,0.74,0.2,0.37,0.36,0.2,0.16,0.13,0.39,0.96,0.18,0.46,0.14,0.29,0.71,0.21,0.11,0.62,0.78,0.83,0.95,0.76,0.3,0.21,0.58,0.56,0.29,0.69,0.43,0.52,0.77,0.08,0.13,0.64,0.48,0.37,0.14,0.38,0.24,0.12,0.15,0.45,0.59,0.27,0.24,0.25,0.7,0.18,0.7,0.47,0.43,0.42,0.53,0.29,0.47,0.11,0.42,0.09,0.25,0.24,0.3,0.05,0.07,0.1
NA,"URN:NBN:no-nb_digavis_arbeidetsrett_null_null_20220225_116_24_1","arbeidetsrett","Røros","20220225","2022","14. februar 1968 Fred Anton Maier vant skøyte-VM 1981 Altautbyggingen stoppet, og samene avsluttet sultestreiken - Arbeidet fortsatte",2022-02-25,0.77,0.85,0.55,0.35,0.27,0.21,0.25,0.12,0.17,0.04,0.24,0.44,0.06,0.25,0.17,0.57,0.71,0.14,0.19,0.68,0.52,0.51,0.38,0.44,0.09,0.24,0.61,0.48,0.22,0.85,0.28,0.62,0.58,0.17,0.11,0.56,0.14,0.48,0.44,0.1,0.26,0.17,0.15,0.34,0.6,0.12,0.21,0.25,0.6,0.27,0.8,0.48,0.2,0.36,0.5,0.34,0.2,0.19,0.42,0.11,0.27,0.37,0.14,0.06,0.13,0.12
NA,"URN:NBN:no-nb_digavis_nationen_null_null_20220624_0_143_1","nationen","Oslo","20220624","2022","18 ○ HELGA Mot kraftutbygging: Demonstrasjon mot utbygginga av Alta-Kautokeino-vassdraget i 1979. Fleire hundre menneske slo leir ved",2022-06-24,0.55,0.98,0.97,0.71,0.13,0.13,0.31,0.1,0.09,0.05,0.36,0.98,0.07,0.5,0.12,0.27,0.8,0.19,0.26,0.78,0.76,0.68,0.46,0.85,0.04,0.4,0.73,0.53,0.57,0.88,0.3,0.72,0.85,0.03,0.13,0.38,0.47,0.84,0.11,0.11,0.28,0.13,0.13,0.55,0.79,0.18,0.09,0.19,0.64,0.07,0.82,0.52,0.49,0.36,0.8,0.66,0.63,0.06,0.54,0.01,0.28,0.19,0.43,0.03,0.17,0.12
NA,"URN:NBN:no-nb_digavis_vesteraalen_null_null_20220524_102_98_1","vesteraalen","Sortland","20220524","2022","1970 foreslå Vassdragsvesenet en gigantisk utbygging av Alta/Kautokeinovassdraget. Konsekvens: Samebygda Masi ville bli lagt under vann.",2022-05-24,0.94,0.67,0.7,0.36,0.13,0.12,0.17,0.1,0.14,0.17,0.83,0.41,0.04,0.78,0.19,0.53,0.57,0.21,0.44,0.75,0.87,0.87,0.03,0.97,0.25,0.71,0.81,0.69,0.6,0.72,0.53,0.76,0.85,0.02,0.02,0.57,0.39,0.19,0.12,0.05,0.16,0.07,0.26,0.36,0.36,0.45,0.25,0.23,0.55,0.09,0.67,0.73,0.16,0.71,0.42,0.76,0.36,0.06,0.61,0.01,0.24,0.23,0.11,0.08,0.98,0.1
NA,"URN:NBN:no-nb_digavis_stavangeraftenblad_null_null_20221015_130_0_1","stavangeraftenblad","Stavanger","20221015","2022","1979 Alta-aksjonen; AP-regje- ringen lovet å utsette utbyggingen av Alta-vassdraget. Samene som hadde sultestreiket utenfor Stortinget",2022-10-15,0.96,0.96,0.96,0.48,0.17,0.19,0.87,0.15,0.17,0.74,0.82,0.96,0.04,0.66,0.31,0.35,0.89,0.27,0.52,0.9,0.76,0.57,0.43,0.84,0.08,0.64,0.73,0.82,0.6,0.88,0.54,0.73,0.91,0.03,0.02,0.54,0.52,0.54,0.97,0.05,0.52,0.07,0.08,0.77,0.85,0.58,0.23,0.23,0.63,0.15,0.73,0.76,0.44,0.52,0.58,0.72,0.48,0.23,0.58,0.03,0.3,0.41,0.89,0.05,0.11,0.13
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20220128_54_12_1","altaposten","Alta","20220128","2022","1979 til 1982 og vi tar for oss sultestreiken, aksjonen i Stilla, samt brusprengningsepisoden. Vi har snakket og intervjuet",2022-01-28,0.03,0.29,0.85,0.12,0.06,0.02,0.07,0.01,0.03,0.01,0.08,0.87,0.01,0.13,0.19,0.12,0.66,0.19,0.05,0.24,0.05,0.04,0.01,0.35,0.01,0.03,0.16,0.57,0.08,0.46,0.39,0.23,0.73,0.01,0.01,0.48,0.24,0.4,0.94,0.01,0.02,0.01,0.01,0.25,0.57,0.19,0.03,0.04,0.63,0.02,0.75,0.09,0.13,0.15,0.04,0.06,0.2,0.01,0.26,0.02,0.16,0.08,0.11,0,0.02,0.01
NA,"URN:NBN:no-nb_digavis_nordlys_null_null_20220211_0_35_1","nordlys","Tromsø","20220211","2022","1989 Den moderne norske samepolitikken, med sitt utspring i Altasaken, er byget på en sterk ideologisk bevegelse der strid og",2022-02-11,0.95,0.75,0.73,0.42,0.14,0.35,0.52,0.12,0.16,0.1,0.17,0.29,0.09,0.29,0.21,0.48,0.63,0.11,0.19,0.91,0.73,0.14,0.38,0.71,0.08,0.57,0.8,0.57,0.22,0.91,0.59,0.36,0.92,0.02,0,0.05,0.34,0.6,0.1,0.06,0.14,0.07,0.09,0.26,0.19,0.15,0.05,0.21,0.34,0.12,0.64,0.43,0.07,0.22,0.24,0.24,0.28,0.08,0.28,0,0.13,0.21,0.14,0.04,0.34,0.13
NA,"URN:NBN:no-nb_digavis_bergensavisen_null_null_20220917_0_251_1","bergensavisen","Bergen","20220917","2022","2. Hvem var Folke Bernadotte? 3. Du husker gjerne Alta-aksjonen i 1979. Men hva het stedet der demonstrasjonene forgikk?",2022-09-17,0.26,0.55,0.87,0.19,0.23,0.13,0.28,0.07,0.13,0.05,0.24,0.85,0.08,0.36,0.12,0.29,0.71,0.24,0.11,0.49,0.51,0.26,0.43,0.58,0.09,0.12,0.47,0.65,0.24,0.66,0.43,0.54,0.76,0.07,0.03,0.31,0.24,0.55,0.1,0.07,0.1,0.07,0.1,0.33,0.66,0.28,0.22,0.26,0.71,0.12,0.82,0.68,0.23,0.4,0.21,0.16,0.37,0.08,0.44,0.01,0.18,0.19,0.1,0.03,0.15,0.06
NA,"URN:NBN:no-nb_digavis_finnmarken_null_null_20221118_124_179_1","finnmarken","Vadsø","20221118","2022","20 Finnmarken Fredag 18. november 2022 folkeliv handler om Alta-aksjonen og blir åpningsfilm på TIFF 2023. Hovedrolleinnehaver i om",2022-11-18,0.4,0.91,0.92,0.51,0.47,0.68,0.22,0.15,0.21,0.12,0.51,0.9,0.18,0.72,0.38,0.57,0.82,0.55,0.23,0.66,0.68,0.26,0.36,0.86,0.42,0.2,0.57,0.7,0.37,0.65,0.57,0.58,0.93,0.09,0.12,0.7,0.7,0.69,0.12,0.13,0.27,0.14,0.17,0.69,0.83,0.4,0.31,0.59,0.73,0.62,0.74,0.61,0.56,0.69,0.54,0.58,0.44,0.14,0.73,0.04,0.5,0.42,0.26,0.14,0.18,0.15
NA,"URN:NBN:no-nb_digavis_telemarksavisa_null_null_20220104_100_2_1","telemarksavisa","Skien","20220104","2022","2009. Mange har fortsatt den harde striden om utbyggingen av Alta-vassdraget friskt i minne. Og nå kan det altså bli",2022-01-04,0.12,0.53,0.51,0.59,0.34,0.36,0.32,0.1,0.18,0.08,0.43,0.46,0.09,0.73,0.14,0.62,0.73,0.55,0.61,0.65,0.86,0.37,0.04,0.79,0.12,0.86,0.55,0.65,0.25,0.7,0.7,0.52,0.95,0.07,0.02,0.48,0.4,0.26,0.16,0.05,0.17,0.13,0.08,0.11,0.28,0.25,0.1,0.3,0.68,0.19,0.67,0.48,0.16,0.38,0.33,0.36,0.35,0.07,0.4,0.01,0.23,0.8,0.23,0.07,0.05,0.11
NA,"URN:NBN:no-nb_digavis_kronstadposten_null_null_20220401_13_13_1","kronstadposten","Alta","20220401","2022","2022 KRONSTADPOSTEN beholder må På tide med omskolering i Alta Saken om framtidig skolestruktur i Alta har lenge vaiet mellom",2022-04-01,0.05,0.02,0.27,0.25,0.12,0.15,0.23,0.04,0.05,0.05,0.2,0.18,0.02,0.25,0.07,0.61,0.44,0.11,0.03,0.15,0.27,0.07,0.05,0.12,0.05,0.02,0.12,0.82,0.26,0.81,0.54,0.36,0.48,0.12,0.03,0.56,0.12,0.05,0.15,0.05,0.06,0.05,0.04,0.05,0.17,0.11,0.58,0.25,0.14,0.09,0.27,0.43,0.16,0.46,0.1,0.03,0.25,0.05,0.59,0.08,0.11,0.08,0.18,0.04,0.05,0.03
NA,"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20221017_109_160_1","finnmarkdagblad","Hammerfest","20221017","2022","27.02.82: «En enstemmig Høyesterett avsa dommen om at Alta-saken er helt fri for feil. Regjeringens utbyggingsvedtak er",2022-10-17,0.15,0.41,0.45,0.53,0.33,0.38,0.28,0.12,0.88,0.89,0.84,0.35,0.14,0.92,0.43,0.57,0.61,0.51,0.41,0.45,0.75,0.36,0.07,0.7,0.19,0.76,0.54,0.6,0.26,0.16,0.57,0.33,0.53,0.26,0.78,0.63,0.51,0.41,0.17,0.14,0.15,0.12,0.1,0.17,0.17,0.21,0.33,0.33,0.46,0.33,0.61,0.57,0.22,0.44,0.26,0.55,0.44,0.62,0.29,0.07,0.46,0.95,0.2,0.12,0.22,0.17
NA,"URN:NBN:no-nb_digavis_finnmarken_null_null_20221017_124_160_1","finnmarken","Vadsø","20221017","2022","27.02.82: «En enstemmig Høyesterett avsa dommen om at Alta-saken er helt fri for feil. Regjeringens utbyggingsvedtak er",2022-10-17,0.15,0.41,0.45,0.53,0.33,0.38,0.28,0.12,0.88,0.89,0.84,0.35,0.14,0.92,0.43,0.57,0.61,0.51,0.41,0.45,0.75,0.36,0.07,0.7,0.19,0.76,0.54,0.6,0.26,0.16,0.57,0.33,0.53,0.26,0.78,0.63,0.51,0.41,0.17,0.14,0.15,0.12,0.1,0.17,0.17,0.21,0.33,0.33,0.46,0.33,0.61,0.57,0.22,0.44,0.26,0.55,0.44,0.62,0.29,0.07,0.46,0.95,0.2,0.12,0.22,0.17
NA,"URN:NBN:no-nb_digavis_vesteraalen_null_null_20221104_102_215_1","vesteraalen","Sortland","20221104","2022","32 år etter dette radiointervjuet veit vi bedre. Alta-utbygginga var heilt nødvendig for å sikre Finnmark nok kraft.",2022-11-04,0.09,0.07,0.21,0.31,0.03,0.03,0.16,0.07,0.07,0.06,0.4,0.18,0.01,0.34,0.05,0.28,0.42,0.51,0.93,0.12,0.62,0.03,0.15,0.12,0.01,0.45,0.4,0.62,0.02,0.24,0.56,0.45,0.44,0.04,0.07,0.68,0.2,0.1,0.06,0.02,0.17,0.02,0.08,0.03,0.18,0.15,0.22,0.24,0.58,0.02,0.55,0.78,0.13,0.38,0.2,0.09,0.27,0.03,0.31,0.01,0.16,0.1,0.21,0.03,0.04,0.18
NA,"URN:NBN:no-nb_digavis_dagogtid_null_null_20220311_60_10_1","dagogtid","Oslo","20220311","2022","40 år attende, har sjølvsagt ikkje gløymt kampen om Alta–Kautokeino-vassdraget og kor store ringverknader det fekk, både for vårt",2022-03-11,0.23,0.2,0.27,0.64,0.35,0.3,0.1,0.09,0.18,0.05,0.24,0.2,0.09,0.43,0.26,0.58,0.73,0.69,0.39,0.53,0.72,0.27,0.26,0.64,0.13,0.07,0.36,0.45,0.11,0.39,0.28,0.25,0.87,0.02,0.03,0.56,0.2,0.13,0.09,0.02,0.04,0.07,0.04,0.03,0.18,0.14,0.11,0.24,0.89,0.14,0.64,0.28,0.08,0.14,0.07,0.03,0.15,0.07,0.31,0.01,0.2,0.51,0.11,0.04,0.06,0.06
NA,"URN:NBN:no-nb_digavis_varden_null_null_20220103_147_1_1","varden","Skien","20220103","2022","5 Alta-Kautokeinovassdraget 1979. FOTO: NTB Sport, MANDAG 3. januar 2022 Har",2022-01-03,0.64,0.51,0.69,0.68,0.76,0.51,0.26,0.33,0.5,0.24,0.68,0.64,0.19,0.84,0.58,0.72,0.8,0.71,0.7,0.66,0.87,0.8,0.79,0.83,0.76,0.41,0.82,0.77,0.56,0.66,0.56,0.67,0.81,0.25,0.26,0.75,0.59,0.68,0.35,0.25,0.59,0.46,0.27,0.48,0.62,0.37,0.48,0.64,0.8,0.27,0.83,0.56,0.47,0.57,0.44,0.44,0.55,0.29,0.65,0.13,0.4,0.82,0.29,0.15,0.37,0.38
NA,"URN:NBN:no-nb_digavis_nationen_null_null_20221202_0_281_1","nationen","Oslo","20221202","2022","70-talet, og sentral i Folkeaksjonen mot utbygging av Alta- Kautokeinovassdraget, som mønstra den største urfolks-og miljøaksjonen i norsk",2022-12-02,0.5,0.95,0.94,0.69,0.3,0.37,0.37,0.16,0.2,0.08,0.12,0.75,0.13,0.59,0.29,0.57,0.8,0.05,0.18,0.55,0.43,0.74,0.13,0.53,0.05,0.25,0.53,0.58,0.26,0.73,0.39,0.61,0.87,0.02,0.05,0.77,0.34,0.26,0.13,0.03,0.13,0.05,0.08,0.11,0.63,0.2,0.02,0.37,0.58,0.05,0.77,0.47,0.21,0.54,0.43,0.27,0.23,0.06,0.41,0.01,0.29,0.19,0.24,0.08,0.07,0.14
