"dhlabid","urn","title","city","timestamp","year","conc","date","samesaken","Alta.samfunnet.er.i.mot.utbygging","protestbevegelse","at.et.møte.blir.arrangert","tv.program","produksjon.av.film","partipolitikk","kommunestyret","domstoler","regjeringen","myndigheter","demonstranter","politiet","saksbehandling.og.juridiske.prosesser","bygging.av.vei.og.anleggsvirksomhet","undersøkelser.og.utredning","arrestasjoner.og.bruk.av.tvangsmidler","økonomisk.og.næringsmessig.nytte","må.ha.kraft.og.strøm","konflikt.mellom.samer.og.nordmenn","rettigheter.til.land.og.ressurser","natur.og.miljø","vern.av.vassdrag","trussel.mot.samisk.kultur.og.næring","trussel.mot.laksefiske","Alta.kautokeinovassdraget.bør.bygges.ut","samiske.særrettigheter","utsatt.og.usikkerhet","unødvendig","splittelse.og.uenighet","vanskelig.å.snakke.om","urettferdig","opprivende","forsoning","samhold.og.enighet","handlekraft.og.beslutninger","tydelig.og.bestemtrettsak","leiren.i.Stilla","sultestreik","politiaksjonen","stortingets.vedtak","opprettelsen.av.Sametinget","Finnmarksloven","udemokratiske.protester","sivil.ulydighet","demonstrantene.opptrer.dårlig","ikke.voldelige","mediedekning","historisk.betydning","kunst.og.kultur","husker.eller.minnes","feilinformasjon","Konstruktiv.sivil.ulydighet","Manglende.utredning.om.konsekvenser","skeptisk.kraftprognose.motstand","meningsløs.kraftutbygging","Skeptisk.til.ulydighet","lov.og.orden","overdrevet.maktbruk.av.myndigheter.og.politi","fredelige.demonstranter","tydelig.og.bestemt","rettsak","arbeiderpartiet","gasskraftverk","neddemming.av.Masi","Kraftlinjer"
NA,"URN:NBN:no-nb_digavis_saltenposten_null_null_20190406_24_28_1","saltenposten","Fauske","20190406","2019",": 14 0T (45:66) Norsk talkshow fra 2019. Opptakten til Alta-aksjonen på 1970-tallet handlet om: bygda Masi som kunne bli lagt",2019-04-06,0.29,0.51,0.74,0.25,0.69,0.14,0.11,0.12,0.17,0.04,0.19,0.33,0.08,0.33,0.27,0.36,0.57,0.17,0.1,0.55,0.58,0.21,0.15,0.81,0.09,0.22,0.49,0.77,0.34,0.32,0.67,0.54,0.84,0.04,0.03,0.45,0.56,0.32,0.12,0.1,0.14,0.11,0.14,0.4,0.57,0.2,0.23,0.25,0.55,0.09,0.53,0.51,0.21,0.47,0.39,0.39,0.5,0.07,0.27,0.02,0.32,0.2,0.15,0.07,0.83,0.11
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20190118_51_8_1","altaposten","Alta","20190118","2019","«innsida» Alfred Nilsen (86) skriver med egne ord om Altaaksjonen. Av Hanne Larsen hanne@altaposten.no Den profilerte lederen av",2019-01-18,0.11,0.79,0.91,0.62,0.15,0.17,0.33,0.11,0.17,0.04,0.3,0.8,0.08,0.6,0.43,0.6,0.74,0.66,0.32,0.53,0.69,0.2,0.35,0.64,0.25,0.33,0.44,0.75,0.52,0.74,0.66,0.67,0.9,0.06,0.11,0.5,0.62,0.64,0.09,0.1,0.09,0.14,0.11,0.53,0.66,0.59,0.28,0.42,0.59,0.14,0.76,0.56,0.38,0.65,0.28,0.36,0.58,0.18,0.59,0.09,0.47,0.21,0.24,0.07,0.12,0.15
NA,"URN:NBN:no-nb_digavis_tronderavisa_null_null_20190603_0_125_1","tronderavisa","Steinkjær","20190603","2019","«plutselig» har vokst fram kan bli for vindkrafta hva Alta-konflikten ble for vannkraftutbyggin- gene. Vindkraftutbygginger med møller på",2019-06-03,0.08,0.66,0.56,0.44,0.13,0.09,0.42,0.09,0.07,0.1,0.25,0.16,0.02,0.36,0.06,0.4,0.42,0.4,0.63,0.3,0.8,0.29,0.07,0.64,0.02,0.27,0.18,0.78,0.35,0.75,0.51,0.63,0.75,0.05,0.02,0.23,0.12,0.16,0.07,0.04,0.1,0.1,0.06,0.07,0.09,0.1,0.04,0.16,0.21,0.07,0.56,0.57,0.03,0.45,0.3,0.26,0.24,0.04,0.25,0.01,0.09,0.19,0.07,0.01,0.05,0.14
NA,"URN:NBN:no-nb_digavis_tronderavisa_null_null_20190603_0_125_1","tronderavisa","Steinkjær","20190603","2019","«plutselig» har vokst fram kan bli for vindkrafta hva Alta-konflikten ble for vannkraftutbyggingene. Vindkraftutbygginger med møller på",2019-06-03,0.06,0.69,0.55,0.52,0.13,0.12,0.43,0.09,0.06,0.09,0.17,0.17,0.02,0.33,0.07,0.4,0.39,0.4,0.73,0.29,0.78,0.32,0.11,0.66,0.02,0.3,0.19,0.8,0.37,0.75,0.48,0.65,0.75,0.06,0.02,0.22,0.12,0.17,0.07,0.05,0.11,0.12,0.05,0.08,0.1,0.1,0.04,0.17,0.24,0.1,0.55,0.55,0.02,0.45,0.32,0.27,0.26,0.04,0.29,0.01,0.06,0.18,0.07,0,0.06,0.16
NA,"URN:NBN:no-nb_digavis_nordlys_null_null_20191021_0_244_1","nordlys","Tromsø","20191021","2019","«Samepolitikken fikk en ny dimensjon i kjølvannet av Altasaken som preget rettsutviklingen i tiden som fulgte. Fra da",2019-10-21,0.87,0.62,0.53,0.61,0.15,0.3,0.23,0.13,0.49,0.08,0.29,0.42,0.07,0.88,0.29,0.56,0.69,0.21,0.15,0.71,0.58,0.1,0.32,0.81,0.05,0.45,0.88,0.73,0.2,0.71,0.55,0.46,0.83,0.12,0.12,0.68,0.37,0.77,0.16,0.12,0.2,0.23,0.13,0.24,0.29,0.21,0.36,0.24,0.63,0.1,0.68,0.41,0.16,0.33,0.22,0.27,0.37,0.24,0.53,0.02,0.22,0.88,0.05,0.05,0.46,0.08
NA,"URN:NBN:no-nb_digavis_aftenposten_null_null_20191229_160_334_1","aftenposten","Oslo","20191229","2019",") Alta-saken forandret Norge I norske medier var det én sak som dominerte i 1979, og det var Alta-saken. I",2019-12-29,0.3,0.68,0.76,0.41,0.24,0.2,0.54,0.48,0.23,0.2,0.62,0.68,0.11,0.81,0.61,0.59,0.77,0.5,0.56,0.8,0.83,0.47,0.71,0.83,0.31,0.64,0.77,0.8,0.31,0.68,0.62,0.62,0.92,0.09,0.07,0.78,0.63,0.67,0.18,0.24,0.47,0.15,0.13,0.45,0.51,0.21,0.21,0.95,0.89,0.16,0.76,0.52,0.23,0.51,0.39,0.61,0.43,0.23,0.56,0.01,0.41,0.66,0.41,0.09,0.6,0.17
NA,"URN:NBN:no-nb_digavis_fredriksstadblad_null_null_20190114_130_11_1","fredriksstadblad","Fredrikstad","20190114","2019","00 • Lørdag 10.00–14.00 Kontakt Lars Brandt: 415 25 736 altaaksjonen. 14. januar 1981 begynte 120 politifolk å fjerne demonstranter",2019-01-14,0.26,0.67,0.95,0.32,0.18,0.18,0.26,0.1,0.13,0.06,0.28,0.92,0.93,0.62,0.17,0.38,0.96,0.31,0.16,0.57,0.48,0.19,0.24,0.55,0.15,0.25,0.5,0.55,0.39,0.6,0.38,0.52,0.86,0.03,0.02,0.69,0.46,0.75,0.18,0.95,0.1,0.15,0.35,0.74,0.64,0.68,0.12,0.47,0.51,0.13,0.71,0.38,0.12,0.33,0.23,0.28,0.4,0.42,0.79,0.02,0.24,0.33,0.2,0.11,0.13,0.07
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20190315_51_32_1","altaposten","Alta","20190315","2019","000 personer bøtelagt eller straffedømt i forbindelse med Alta-aksjonen, og BEI hadde som formål å gi økonomisk og juridisk",2019-03-15,0.12,0.49,0.84,0.41,0.15,0.18,0.1,0.08,0.58,0.05,0.35,0.7,0.33,0.83,0.19,0.42,0.94,0.11,0.05,0.45,0.28,0.14,0.17,0.52,0.09,0.13,0.52,0.33,0.28,0.29,0.33,0.66,0.85,0.03,0.01,0.12,0.47,0.49,0.06,0.2,0.06,0.09,0.18,0.36,0.38,0.37,0.02,0.16,0.17,0.07,0.53,0.48,0.02,0.34,0.13,0.19,0.26,0.43,0.65,0,0.18,0.9,0.22,0.08,0.13,0.16
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20190930_51_112_1","altaposten","Alta","20190930","2019","132.000 kroner i støtte til prosjektet som skal belyse Alta-aksjonen for 40 år siden. Altaposten har skrevet om den guidete",2019-09-30,0.15,0.5,0.88,0.51,0.13,0.1,0.14,0.1,0.19,0.08,0.28,0.67,0.07,0.48,0.26,0.6,0.73,0.71,0.14,0.38,0.44,0.09,0.15,0.6,0.13,0.09,0.34,0.65,0.29,0.52,0.48,0.37,0.87,0.04,0.06,0.68,0.52,0.48,0.11,0.06,0.08,0.11,0.12,0.39,0.59,0.35,0.25,0.58,0.85,0.25,0.72,0.43,0.3,0.43,0.26,0.26,0.42,0.07,0.55,0.02,0.59,0.26,0.11,0.05,0.12,0.08
NA,"URN:NBN:no-nb_digavis_fanaposten_null_null_20191008_41_74_1","fanaposten","Bergen","20191008","2019","14 samer i telt foran Stortinget i protest mot Alta-utbyggingen. ▶ 1982 I Polen ble protestbevegelsen Solidaritet forbudt.",2019-10-08,0.71,0.76,0.96,0.44,0.2,0.21,0.5,0.17,0.14,0.19,0.43,0.85,0.12,0.64,0.33,0.5,0.86,0.24,0.17,0.61,0.49,0.56,0.41,0.7,0.07,0.61,0.59,0.67,0.42,0.83,0.36,0.65,0.79,0.04,0.02,0.35,0.23,0.49,0.25,0.22,0.28,0.15,0.13,0.64,0.68,0.53,0.42,0.27,0.35,0.15,0.64,0.46,0.3,0.33,0.63,0.75,0.62,0.32,0.52,0.06,0.23,0.36,0.22,0.08,0.39,0.14
NA,"URN:NBN:no-nb_digavis_kronstadposten_null_null_20191025_10_41_1","kronstadposten","Alta","20191025","2019","14 Svein Suhr mimrer tilbake – 40 år etter Alta-saken: Ble fulgt med argusøyne Bonden og laksefiskeren Svein Suhr",2019-10-25,0.11,0.45,0.42,0.55,0.31,0.16,0.19,0.1,0.26,0.07,0.21,0.24,0.06,0.7,0.16,0.55,0.63,0.68,0.03,0.15,0.76,0.18,0.59,0.45,0.61,0.32,0.21,0.67,0.26,0.51,0.51,0.51,0.71,0.23,0.28,0.62,0.27,0.45,0.08,0.11,0.22,0.11,0.11,0.15,0.44,0.18,0.34,0.78,0.81,0.11,0.94,0.49,0.34,0.54,0.2,0.19,0.46,0.19,0.37,0.03,0.47,0.47,0.09,0.05,0.1,0.08
NA,"URN:NBN:no-nb_digavis_bergensavisen_null_null_20191015_0_279_1","bergensavisen","Bergen","20191015","2019","14. Pust 16. Skade vanskeLig NØTTEN Hvilket år pågikk Alta-aksjonen? 1. 1977. 2. 1979. 3. 1981. LØSNING PÅ GÅRSDAGENS NØTT",2019-10-15,0.56,0.73,0.92,0.57,0.39,0.37,0.59,0.31,0.4,0.27,0.72,0.89,0.47,0.76,0.49,0.67,0.84,0.6,0.44,0.72,0.73,0.68,0.52,0.79,0.46,0.29,0.75,0.75,0.67,0.76,0.81,0.67,0.8,0.2,0.19,0.66,0.6,0.82,0.47,0.37,0.37,0.43,0.45,0.64,0.78,0.58,0.6,0.5,0.71,0.27,0.75,0.66,0.59,0.69,0.56,0.51,0.61,0.32,0.73,0.13,0.42,0.69,0.6,0.17,0.45,0.39
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20190201_51_14_1","altaposten","Alta","20190201","2019","16 og 17 Harald Opgård forteller om bitter tid etter Altaaksjonen. Grandiosa og BigOne pizza stort utvalg, 355-1000g Tilbudene",2019-02-01,0.21,0.76,0.81,0.59,0.31,0.23,0.39,0.22,0.31,0.15,0.32,0.8,0.28,0.7,0.31,0.54,0.85,0.56,0.22,0.54,0.58,0.19,0.27,0.71,0.21,0.27,0.47,0.9,0.56,0.95,0.83,0.76,0.98,0.05,0.05,0.18,0.31,0.72,0.14,0.29,0.15,0.21,0.28,0.54,0.6,0.75,0.35,0.41,0.46,0.17,0.78,0.6,0.04,0.68,0.27,0.24,0.54,0.19,0.64,0.02,0.35,0.51,0.37,0.09,0.09,0.17
NA,"URN:NBN:no-nb_digavis_kronstadposten_null_null_20191025_10_41_1","kronstadposten","Alta","20191025","2019","17 17 så Fra demonstrasjonen mot utbygg- ingen av Alta-Kautokeinovassdraget i 1979. I forgrunnen Svein Suhr, nestleder i",2019-10-25,0.44,0.96,0.95,0.64,0.12,0.13,0.49,0.12,0.13,0.03,0.56,0.97,0.1,0.27,0.13,0.36,0.68,0.2,0.26,0.4,0.45,0.41,0.26,0.66,0.08,0.18,0.57,0.52,0.26,0.64,0.25,0.52,0.83,0.03,0.12,0.6,0.56,0.25,0.07,0.13,0.17,0.06,0.11,0.33,0.68,0.27,0.13,0.17,0.68,0.11,0.68,0.45,0.46,0.3,0.46,0.43,0.4,0.12,0.4,0.04,0.3,0.17,0.55,0.02,0.08,0.1
NA,"URN:NBN:no-nb_digavis_vesteraalen_null_null_20190223_99_38_1","vesteraalen","Sortland","20190223","2019","18 år etter at utbygginga var sluttført: «- Utbyggingen av Alta-Kautokeino-vassdraget har bare i liten grad påvirket laksefisket",2019-02-23,0.37,0.24,0.18,0.34,0.18,0.14,0.12,0.11,0.15,0.1,0.42,0.2,0.07,0.52,0.16,0.44,0.51,0.48,0.23,0.29,0.76,0.67,0.13,0.67,0.73,0.08,0.5,0.55,0.38,0.32,0.53,0.31,0.18,0.06,0.15,0.51,0.21,0.16,0.1,0.07,0.34,0.11,0.14,0.09,0.18,0.12,0.29,0.15,0.43,0.13,0.64,0.54,0.15,0.61,0.25,0.36,0.28,0.1,0.31,0.03,0.16,0.21,0.15,0.05,0.2,0.11
NA,"URN:NBN:no-nb_digavis_bergensavisen_null_null_20191016_0_280_1","bergensavisen","Bergen","20191016","2019","1848. LØSNING PÅ GÅRSDAGENS NØTT : Hvilket år pågikk Alta-aksjonen? 2. 1979. Kryssord Vannrett: 1. Hule 7. Larve 8. Kan",2019-10-16,0.59,0.77,0.85,0.77,0.38,0.39,0.35,0.31,0.58,0.29,0.66,0.81,0.35,0.95,0.76,0.79,0.93,0.89,0.35,0.63,0.89,0.56,0.55,0.85,0.46,0.31,0.83,0.89,0.47,0.93,0.78,0.86,0.83,0.2,0.23,0.88,0.79,0.76,0.33,0.33,0.36,0.46,0.41,0.58,0.7,0.49,0.65,0.7,0.78,0.54,0.91,0.87,0.39,0.84,0.45,0.49,0.58,0.35,0.83,0.13,0.67,0.6,0.57,0.19,0.34,0.28
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20190322_51_35_1","altaposten","Alta","20190322","2019","19 REPORTASJE livbåt 20 menighetsbladet Lokalmedias rolle under Altasaken var preget av polarisering og rolleblanding. Av Hanne Larsen",2019-03-22,0.15,0.62,0.58,0.54,0.21,0.19,0.69,0.12,0.18,0.05,0.18,0.46,0.08,0.56,0.25,0.47,0.7,0.22,0.13,0.68,0.57,0.15,0.42,0.55,0.25,0.57,0.64,0.84,0.31,0.92,0.7,0.6,0.8,0.08,0,0.26,0.15,0.47,0.12,0.11,0.1,0.12,0.15,0.22,0.37,0.31,0.21,0.97,0.5,0.11,0.64,0.54,0.18,0.4,0.24,0.25,0.45,0.13,0.46,0.03,0.11,0.38,0.2,0.03,0.27,0.06
NA,"URN:NBN:no-nb_digavis_gudbrandsdolendagnin_null_null_20190102_182_1_1","gudbrandsdolendagnin","Lillehammer","20190102","2019","1973-93, og temmelig restriktiv Samlet Plan fra 1984. Utbyggingen av Altaelva har nå vist seg å være nødvendig, ettersom",2019-01-02,0.23,0.08,0.42,0.63,0.36,0.38,0.37,0.2,0.21,0.3,0.65,0.32,0.15,0.75,0.21,0.64,0.74,0.44,0.86,0.46,0.78,0.38,0.09,0.73,0.5,0.64,0.59,0.46,0.01,0.22,0.57,0.29,0.59,0.05,0.12,0.72,0.51,0.2,0.16,0.14,0.47,0.09,0.12,0.11,0.15,0.11,0.31,0.27,0.51,0.28,0.69,0.44,0.07,0.2,0.41,0.03,0.19,0.18,0.37,0.01,0.31,0.33,0.41,0.06,0.02,0.12
NA,"URN:NBN:no-nb_digavis_stavangeraftenblad_null_null_20190705_127_0_1","stavangeraftenblad","Stavanger","20190705","2019","1978 Miika Koppinen, finsk fotballspiller, ble født. y 1979 Alta-aksjonen – demonstranter mot kraftutbyggingen i Alta-og Kautokeino-vassdragene",2019-07-05,0.51,0.98,0.97,0.44,0.2,0.17,0.26,0.14,0.19,0.09,0.18,0.97,0.13,0.67,0.17,0.48,0.87,0.52,0.4,0.71,0.6,0.53,0.16,0.8,0.08,0.34,0.67,0.76,0.45,0.75,0.41,0.63,0.84,0.07,0.13,0.71,0.56,0.6,0.18,0.12,0.21,0.15,0.17,0.69,0.86,0.52,0.2,0.31,0.61,0.29,0.71,0.55,0.65,0.46,0.62,0.79,0.43,0.13,0.5,0.05,0.57,0.41,0.27,0.09,0.13,0.16
NA,"URN:NBN:no-nb_digavis_romsdalsbudstikke_null_null_20190329_177_75_1","romsdalsbudstikke","Molde","20190329","2019","1979 – 1983 var han litt yrkesdemonstrant. Snuste litt på Altasaka, men fant sin kamp i lokalmiljøet. Han sperret av gågata",2019-03-29,0.4,0.66,0.92,0.63,0.26,0.24,0.64,0.2,0.21,0.13,0.28,0.92,0.37,0.64,0.5,0.61,0.88,0.42,0.2,0.55,0.49,0.44,0.69,0.59,0.27,0.45,0.65,0.72,0.49,0.82,0.62,0.72,0.89,0.06,0.05,0.68,0.31,0.43,0.46,0.26,0.18,0.25,0.47,0.49,0.74,0.51,0.16,0.32,0.61,0.23,0.83,0.61,0.52,0.58,0.55,0.61,0.5,0.36,0.57,0.06,0.57,0.44,0.5,0.12,0.33,0.14
NA,"URN:NBN:no-nb_digavis_bygdebladet_null_null_20190329_48_25_1","bygdebladet","Randaberg","20190329","2019","1979 – 1983 var han litt yrkesdemonstrant. Snuste litt på Altasaka, men fant sin kamp i lokalmiljøet. Han sperret av gågata",2019-03-29,0.4,0.66,0.92,0.63,0.26,0.24,0.64,0.2,0.21,0.13,0.28,0.92,0.37,0.64,0.5,0.61,0.88,0.42,0.2,0.55,0.49,0.44,0.69,0.59,0.27,0.45,0.65,0.72,0.49,0.82,0.62,0.72,0.89,0.06,0.05,0.68,0.31,0.43,0.46,0.26,0.18,0.25,0.47,0.49,0.74,0.51,0.16,0.32,0.61,0.23,0.83,0.61,0.52,0.58,0.55,0.61,0.5,0.36,0.57,0.06,0.57,0.44,0.5,0.12,0.33,0.14
